twotheta, intensity, esd
25.0, 389.67169353, 19.529616047
25.001, 387.636781423, 19.4766422831
25.002, 342.130572017, 18.31147741
25.003, 400.871104397, 19.8188167543
25.004, 383.442458521, 19.3639747841
25.005, 412.136356138, 20.0831847884
25.006, 386.800269879, 19.4592045101
25.007, 410.482860844, 20.0503077022
25.008, 394.463370405, 19.6467057572
25.009, 400.034092715, 19.8016649295
25.01, 373.772635882, 19.121183171
25.011, 380.934424518, 19.3113769572
25.012, 398.44952878, 19.7474515198
25.013, 387.880074441, 19.4888664354
25.014, 383.775917268, 19.3808145644
25.015, 416.476062777, 20.1988965909
25.016, 378.568760099, 19.2659052858
25.017, 373.546472528, 19.1096132739
25.018, 383.728392374, 19.3784145411
25.019, 366.300580579, 18.938345045
25.02, 410.563607291, 20.054251816
25.021, 389.6842844, 19.5302470778
25.022, 406.682399611, 19.9602048216
25.023, 396.569970451, 19.702783102
25.024, 380.101259904, 19.293962371
25.025, 406.32542341, 19.9426842255
25.026, 394.655654234, 19.6562826764
25.027, 383.929301779, 19.363870315
25.028, 372.812959768, 19.0971083883
25.029, 389.702122859, 19.531141108
25.03, 388.32846793, 19.4867995586
25.031, 412.586205414, 20.1051057036
25.032, 387.649304081, 19.4772714786
25.033, 435.880493566, 20.6593330409
25.034, 397.459543918, 19.7226385805
25.035, 357.817425654, 18.7008971616
25.036, 387.589828662, 19.4742831619
25.037, 394.282942889, 19.6377193555
25.038, 375.848443589, 19.1772250245
25.039, 364.407962108, 18.8910860488
25.04, 392.673221708, 19.606271031
25.041, 417.530576462, 20.2262509546
25.042, 392.763126204, 19.6107599847
25.043, 403.985917689, 19.8758259432
25.044, 386.618275697, 19.4747230501
25.045, 418.877243744, 20.2440065324
25.046, 388.83367086, 19.5121512622
25.047, 400.620582904, 19.8064311283
25.048, 397.593344894, 19.7292780192
25.049, 379.405499728, 19.2835185599
25.05, 398.702856785, 19.760006642
25.051, 377.956095267, 19.2347258968
25.052, 401.48467191, 19.8249227908
25.053, 451.657681643, 21.0322264253
25.054, 410.895775807, 20.0704768075
25.055, 415.269838112, 20.1879671948
25.056, 397.983486954, 19.7486375514
25.057, 408.305107776, 19.991718597
25.058, 393.799094078, 19.6380078315
25.059, 378.332021969, 19.253857344
25.06, 393.150715124, 19.6301123953
25.061, 401.639339521, 19.8325601271
25.062, 417.237282586, 20.2358153999
25.063, 395.999416983, 19.723210339
25.064, 385.365304296, 19.436296583
25.065, 373.02777854, 19.1081123442
25.066, 415.529407169, 20.1767429743
25.067, 372.468643757, 19.1045661232
25.068, 401.433757844, 19.8466339889
25.069, 423.15197468, 20.3556720389
25.07, 394.105928454, 19.6533090751
25.071, 417.065005883, 20.2274600594
25.072, 378.059765744, 19.290055138
25.073, 427.915060964, 20.4901262704
25.074, 412.349495664, 20.0935709638
25.075, 389.212124828, 19.5311425472
25.076, 374.841811314, 19.1758792544
