DWTR-WY-filter.str	DWTR-MN.str	DWTR-NC.str	DWTR-NC-filter-Ti.str	DWTR-TN.str	DWTR-TN-filter.str	DWTR-UT.str	DWTR-UT-filter.str	DWTR-WY.str	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	3	1	0	
0	0	2	1	0	0	0	0	0	
0	0	4	0	4	0	0	0	1	
0	0	0	0	0	0	1	0	0	
0	0	0	0	2	0	0	0	3	
0	0	4	0	0	0	0	0	6	
1	3	4	0	2	0	0	0	0	
0	0	6	1	0	0	1	0	4	
0	2	2	1	0	1	0	0	0	
0	0	2	0	0	0	3	1	0	
1	0	4	0	2	0	1	0	4	
0	2	0	0	0	1	3	0	1	
0	0	0	0	0	3	3	0	0	
0	0	10	1	4	0	3	0	3	
0	0	0	1	2	1	1	0	0	
1	2	2	0	4	0	1	0	3	
0	0	2	0	4	0	0	0	3	
0	2	4	0	2	0	1	0	1	
0	2	2	0	0	0	1	0	4	
1	3	6	0	0	0	0	0	1	
0	0	6	3	4	0	0	0	1	
3	0	2	1	4	0	0	0	0	
0	2	0	0	4	0	4	0	4	
0	0	8	0	6	1	4	0	3	
0	0	8	1	4	0	0	0	4	
1	0	2	0	7	0	1	0	4	
0	2	4	0	4	0	1	0	3	
0	0	6	1	4	1	5	1	10	
0	3	2	0	2	3	4	0	0	
0	7	4	0	2	0	6	0	10	
0	5	4	0	0	1	1	1	6	
0	5	2	3	6	1	0	1	4	
0	2	2	0	7	0	3	0	6	
0	10	12	0	6	1	6	1	7	
0	10	12	1	9	0	1	1	4	
1	8	14	1	2	1	5	0	14	
0	3	12	1	11	4	9	0	8	
1	5	10	3	9	0	6	1	10	
1	7	12	6	7	0	9	1	14	
1	8	24	3	9	0	10	0	15	
1	12	18	4	17	11	9	1	7	
0	15	30	1	13	4	11	1	8	
0	12	18	3	11	1	10	2	13	
4	8	40	7	17	1	10	1	20	
0	20	12	1	9	1	15	1	10	
0	16	18	8	32	7	6	2	27	
3	10	40	6	15	6	19	4	11	
0	21	28	1	24	10	15	4	29	
0	16	40	3	28	6	20	1	27	
1	26	30	4	22	7	33	4	32	
0	33	43	7	19	8	29	4	35	
3	33	43	6	37	7	36	1	27	
1	40	49	11	54	7	29	5	45	
1	46	61	14	36	6	27	0	41	
4	41	59	6	47	12	29	0	49	
4	35	67	8	43	12	33	5	64	
5	38	67	4	36	8	46	11	62	
8	46	63	11	41	12	41	1	57	
7	81	53	17	56	12	38	6	83	
1	73	93	8	34	11	50	7	55	
3	63	81	10	47	10	48	7	90	
3	91	97	18	43	11	75	5	95	
4	81	128	20	66	15	59	6	116	
5	86	119	10	67	10	85	4	112	
5	106	115	7	49	17	71	4	116	
3	96	125	8	60	15	84	6	129	
3	107	107	22	79	21	102	5	157	
8	129	123	8	79	17	118	7	171	
7	107	134	17	73	14	104	7	174	
5	132	164	18	73	19	120	6	195	
8	132	152	20	75	11	110	5	177	
8	127	170	20	95	14	138	16	224	
10	87	142	15	58	12	150	7	221	
7	106	160	30	103	14	153	12	293	
9	114	202	21	75	18	187	15	266	
17	107	180	31	90	21	174	7	328	
12	104	178	27	142	22	208	12	349	
18	114	227	24	137	28	239	17	425	
13	124	188	22	99	32	280	18	503	
29	104	227	30	150	26	414	25	604	
22	99	225	38	142	32	475	28	664	
27	147	287	44	165	45	585	43	746	
48	132	312	42	189	47	658	30	911	
38	139	306	49	206	41	805	37	1081	
57	163	344	52	200	59	932	65	1193	
72	185	348	77	236	61	1061	62	1364	
64	176	421	74	234	39	1226	57	1574	
68	221	429	79	256	59	1335	63	1923	
82	175	437	70	309	69	1377	54	1878	
78	233	466	79	331	74	1493	65	2038	
85	208	490	91	307	80	1458	53	2104	
74	239	561	70	380	66	1470	60	2114	
85	219	536	79	352	74	1335	55	2146	
77	257	524	93	354	73	1280	62	2139	
72	262	553	79	367	73	1165	55	1945	
72	259	575	96	425	96	1079	32	1927	
69	241	591	73	341	77	1070	35	1917	
56	231	532	86	342	80	843	39	1760	
53	234	627	83	382	78	801	33	1713	
61	237	571	94	384	65	694	31	1651	
47	223	553	80	339	59	669	38	1630	
55	233	601	98	455	87	646	31	1539	
64	252	601	80	399	80	623	28	1616	
56	269	654	87	434	59	616	30	1815	
79	287	716	80	402	99	614	49	1969	
76	282	690	93	531	114	750	31	2317	
121	269	733	104	545	106	790	44	2528	
138	282	727	119	535	112	991	54	2907	
145	297	921	91	576	101	1102	43	3427	
187	356	937	122	662	80	1251	43	4105	
182	371	980	97	646	123	1429	60	4348	
232	386	1135	114	758	128	1750	83	5112	
280	368	1170	124	805	121	1771	83	5305	
253	440	1239	122	853	96	1813	74	5888	
302	470	1348	129	1024	98	2105	75	6271	
256	543	1394	178	1065	116	1990	91	6290	
284	454	1342	148	1016	117	1934	65	6369	
273	501	1516	146	1046	143	1984	90	6643	
255	511	1552	126	1162	107	1929	60	6328	
236	498	1544	169	1072	121	1796	57	6107	
215	521	1467	162	1069	150	1577	52	5421	
190	503	1496	164	1072	116	1482	59	5145	
182	518	1356	135	1027	131	1313	47	4606	
142	501	1388	167	923	156	1187	47	4072	
130	437	1269	176	953	157	1005	51	3463	
116	488	1352	187	928	171	839	44	2987	
79	478	1097	191	827	175	727	44	2423	
77	470	1075	194	872	178	620	47	2079	
59	442	1069	208	780	189	569	32	1711	
61	491	969	209	792	220	502	38	1449	
48	548	893	216	808	226	447	47	1144	
42	590	994	257	784	264	402	46	957	
46	584	982	281	769	235	365	38	805	
38	648	951	329	837	263	364	57	713	
30	632	864	318	838	286	369	38	569	
36	711	915	330	915	289	376	43	528	
31	676	939	333	881	336	344	25	449	
35	727	1014	322	846	350	400	51	426	
30	745	998	312	885	319	457	64	415	
31	792	1063	327	887	317	433	44	409	
25	708	982	267	984	322	447	37	443	
29	712	1087	298	891	264	439	31	468	
18	643	923	256	868	230	498	44	458	
30	732	1069	218	895	202	464	36	423	
33	688	943	194	857	187	489	46	461	
26	651	965	197	840	180	508	23	425	
22	676	850	157	771	172	464	16	492	
21	628	826	150	773	145	465	16	437	
10	571	862	148	758	127	485	20	436	
23	582	783	126	717	117	498	33	446	
21	551	797	103	659	102	475	18	432	
21	526	702	108	704	107	485	25	493	
18	452	678	83	646	98	443	21	406	
16	510	716	101	604	94	466	12	439	
8	491	741	103	619	96	456	15	420	
20	491	694	101	606	67	471	22	465	
27	473	678	89	552	77	476	25	384	
13	488	609	86	567	102	523	17	429	
17	452	725	90	526	67	484	17	450	
16	495	694	100	515	88	526	23	434	
17	460	698	97	571	74	583	32	404	
20	440	678	91	539	91	600	28	444	
20	454	727	118	483	91	688	35	470	
25	447	755	115	561	95	754	37	479	
17	434	765	115	511	88	802	49	441	
25	482	759	111	591	109	912	60	491	
31	447	757	125	539	89	1044	63	482	
26	508	828	145	558	92	1124	64	482	
31	435	872	136	554	99	1266	65	558	
36	505	945	141	584	92	1327	60	538	
46	467	949	121	636	109	1370	62	562	
20	561	1012	114	560	116	1400	86	622	
29	557	986	101	524	118	1386	48	594	
36	546	1034	115	612	78	1450	70	621	
23	628	1075	117	588	88	1305	76	601	
31	577	1073	110	565	87	1268	60	597	
34	607	980	117	612	76	1184	57	537	
33	589	1063	93	560	105	1158	46	510	
25	569	1002	100	584	101	1021	62	495	
29	620	1089	112	582	76	967	52	503	
26	571	1022	77	586	51	908	48	430	
14	553	974	98	608	76	709	44	457	
26	524	856	76	560	70	720	42	388	
25	516	931	87	629	66	587	47	392	
22	541	808	94	554	54	600	31	322	
18	495	793	98	526	61	551	23	338	
12	480	751	101	487	84	548	30	328	
7	404	745	63	561	87	508	32	280	
16	452	678	67	522	95	500	27	324	
22	485	654	70	503	77	518	37	325	
7	394	627	70	590	73	511	32	304	
20	440	569	83	528	56	534	41	290	
21	396	601	100	511	67	554	51	290	
22	414	609	79	481	74	627	51	342	
14	404	573	80	464	62	665	49	290	
21	419	544	86	436	72	732	76	364	
22	363	559	69	473	65	776	74	331	
12	426	615	101	509	73	944	84	364	
22	447	599	80	507	62	1047	91	420	
13	495	581	87	545	73	1145	92	472	
10	501	648	89	554	67	1312	110	427	
9	505	668	63	548	78	1350	106	517	
14	587	676	84	545	63	1467	102	582	
26	633	757	76	560	78	1591	137	629	
10	645	806	76	610	81	1680	110	805	
25	747	864	84	657	81	1714	120	819	
17	744	935	80	810	89	1773	99	854	
20	835	931	74	812	80	1853	97	950	
16	930	1024	83	852	70	1759	94	961	
17	973	1212	97	900	88	1825	70	1088	
16	965	1131	62	874	77	1794	78	1132	
26	1057	1220	72	1009	70	1643	69	1158	
26	986	1263	65	953	74	1461	52	1158	
12	1072	1200	97	1005	72	1510	47	1187	
14	1075	1172	91	1027	88	1304	57	1194	
21	1098	1293	83	994	87	1289	46	1179	
17	1074	1227	89	1059	76	1256	31	1099	
9	1031	1247	74	990	80	1245	38	1064	
13	1057	1212	93	943	77	1096	26	987	
8	993	1160	100	917	67	1090	35	1046	
13	933	1158	90	818	73	1047	39	973	
21	1014	1113	90	904	67	1002	26	889	
21	957	1099	76	846	67	917	30	908	
16	924	1067	84	829	80	912	30	910	
18	848	1081	76	808	87	852	23	851	
14	957	1010	76	797	78	797	32	837	
