DWTR-TX.str	DWTR-AR.str	DWTR-FL.str	DWTR-IL.str	DWTR-KS.str	DWTR-ME.str	DWTR-OR.str	DWTR-PA.str	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
2	1	0	0	0	2	3	1	
1	0	0	0	0	0	0	0	
0	0	0	1	0	1	0	2	
2	1	0	0	0	0	1	1	
0	0	1	0	0	0	0	1	
0	0	0	1	0	0	0	0	
0	0	0	0	0	0	1	0	
0	0	2	0	1	0	0	0	
1	0	0	0	0	0	0	0	
0	0	1	0	1	0	0	0	
0	1	0	0	0	0	1	0	
1	0	0	0	1	0	0	4	
0	0	1	0	0	1	3	1	
1	0	1	1	0	0	0	0	
0	2	0	1	0	1	1	1	
0	0	2	0	0	0	0	0	
1	0	0	0	1	0	3	1	
0	0	1	0	0	0	1	0	
0	0	1	0	1	0	0	0	
0	1	0	0	0	0	1	2	
4	0	0	6	0	0	0	0	
0	0	0	0	0	0	3	2	
2	2	0	1	2	0	0	1	
1	0	1	1	0	2	1	1	
0	1	1	1	1	0	3	0	
2	1	0	1	2	0	1	0	
1	0	1	0	0	2	1	0	
1	0	1	3	2	1	0	0	
1	0	2	1	2	2	1	0	
1	1	3	1	5	2	0	1	
1	0	1	3	0	2	1	1	
0	0	0	0	2	1	0	2	
1	1	1	1	2	1	0	1	
1	2	3	3	1	2	3	6	
2	5	7	6	1	6	3	4	
5	2	6	1	0	4	3	2	
8	1	7	10	3	1	4	0	
4	1	7	4	2	4	4	4	
5	2	8	1	3	4	4	2	
2	2	16	1	6	5	1	6	
6	6	9	13	8	10	7	4	
5	2	7	7	5	9	3	2	
6	7	15	7	8	9	7	7	
5	2	7	10	5	10	12	13	
5	1	17	10	9	7	9	10	
7	2	17	11	9	11	5	7	
8	7	11	13	7	10	16	10	
12	9	11	17	10	9	9	11	
15	4	23	13	5	16	16	12	
12	11	18	20	9	17	17	11	
12	11	15	20	7	16	16	21	
16	17	26	19	14	18	30	20	
11	14	22	23	14	15	13	12	
16	9	29	19	13	9	26	15	
24	15	41	37	27	19	13	23	
21	20	32	30	19	28	24	24	
29	15	30	37	21	26	28	24	
28	9	33	39	21	39	22	33	
27	25	33	39	29	22	34	20	
28	22	31	39	20	19	38	30	
34	27	24	46	30	44	49	19	
41	25	35	63	34	44	41	39	
47	25	53	77	36	39	50	38	
51	32	58	54	41	35	44	39	
51	26	44	56	31	50	53	48	
47	35	45	72	38	44	61	56	
46	29	55	53	45	47	54	54	
59	41	76	86	34	44	82	51	
53	31	71	76	51	84	77	64	
65	29	80	76	59	72	91	54	
71	46	89	103	58	89	112	68	
70	50	82	79	65	80	110	70	
93	50	95	53	61	91	112	82	
81	60	118	86	63	83	130	99	
94	53	120	63	88	109	155	119	
115	53	173	50	75	117	172	100	
141	81	195	73	86	174	213	161	
161	72	238	66	104	187	214	189	
180	114	290	73	137	236	254	205	
248	153	388	80	178	292	328	290	
265	207	434	82	194	339	379	329	
363	238	564	96	282	430	545	420	
451	290	658	82	253	537	554	479	
463	364	824	103	341	654	705	623	
564	370	941	100	400	733	808	660	
704	442	1080	116	472	849	993	846	
753	483	1216	122	510	929	1042	917	
866	549	1382	153	579	1087	1120	907	
919	604	1302	146	576	1102	1200	989	
864	573	1406	148	579	1168	1195	1112	
922	580	1405	153	578	1044	1301	1037	
953	648	1361	172	593	1051	1277	1008	
867	546	1317	165	610	1081	1318	941	
819	541	1135	171	530	998	1272	935	
730	443	994	161	566	892	1186	760	
706	451	919	169	515	790	1231	736	
626	366	807	148	461	710	1007	601	
625	336	706	156	436	595	976	530	
568	279	600	166	455	498	831	444	
578	230	545	176	494	463	780	424	
526	186	508	159	495	442	712	340	
521	199	528	189	567	394	759	324	
617	163	485	172	707	440	792	338	
625	179	518	198	830	454	784	325	
749	174	659	194	1042	512	927	414	
922	182	774	202	1228	549	1064	477	
1137	196	852	228	1536	656	1266	524	
1400	201	1068	259	2012	776	1433	652	
1647	213	1246	302	2325	915	1708	756	
2054	304	1491	282	2851	1074	1946	924	
2133	304	1613	331	3028	1238	2288	1087	
2437	308	1933	377	3611	1445	2617	1199	
2728	365	1966	406	3637	1496	2728	1217	
2841	336	2157	452	4103	1639	2969	1273	
2956	385	2293	421	4101	1566	3286	1392	
3082	420	2359	509	4193	1682	3260	1424	
2850	377	2110	424	3954	1595	3227	1258	
3000	369	2049	492	3980	1552	3135	1274	
2705	361	1930	487	3674	1458	3109	1245	
2586	382	1777	447	3350	1392	3040	1125	
2137	305	1554	424	2888	1189	2695	944	
1970	308	1364	453	2639	1132	2567	956	
1603	262	1083	409	2118	926	2132	755	
1532	253	977	380	1822	843	1852	650	
1208	217	821	406	1480	694	1532	542	
988	205	654	354	1246	607	1355	439	
804	163	538	363	960	493	1147	421	
612	154	442	325	803	430	909	368	
558	129	379	347	622	369	833	273	
417	139	301	353	453	311	649	256	
390	118	316	364	422	265	516	211	
282	123	274	411	340	258	451	207	
277	106	235	388	272	238	336	190	
253	128	252	437	226	213	336	199	
240	145	284	470	207	202	266	217	
230	141	282	510	210	220	267	225	
241	144	285	476	234	213	278	199	
216	141	358	529	240	242	242	182	
216	159	393	507	190	243	217	215	
211	171	424	517	217	259	251	202	
260	187	416	492	198	284	292	260	
265	192	476	464	209	276	259	227	
283	191	440	453	234	323	272	245	
281	190	422	439	223	294	300	245	
254	186	435	462	213	284	251	236	
235	192	427	430	195	258	270	286	
257	196	404	357	209	279	260	233	
236	201	382	371	232	320	301	231	
184	207	338	343	199	264	271	205	
233	201	376	361	183	276	284	236	
184	181	380	331	224	258	258	237	
201	184	357	315	205	253	296	246	
172	175	342	324	202	247	267	236	
151	171	308	331	181	219	249	244	
167	201	290	277	158	272	234	221	
177	170	310	292	184	277	237	239	
150	192	324	280	189	211	230	220	
137	185	322	284	197	256	260	215	
139	192	337	241	184	252	260	262	
141	199	398	214	176	247	246	270	
141	204	442	238	174	284	245	293	
141	216	481	239	189	337	255	311	
173	191	630	228	178	340	262	357	
167	241	721	242	173	354	239	365	
162	252	809	294	175	406	268	376	
173	251	898	290	191	451	311	486	
165	284	1068	291	166	504	308	561	
172	315	1221	304	204	575	301	595	
196	318	1272	268	184	586	296	589	
204	339	1381	347	213	628	321	682	
208	323	1499	323	203	683	324	711	
217	365	1566	398	219	770	328	735	
212	298	1521	377	178	701	346	736	
214	323	1459	355	189	717	361	743	
208	331	1407	407	210	690	350	717	
206	319	1294	403	188	634	311	638	
184	251	1164	420	169	609	361	646	
194	278	1100	436	170	590	328	604	
166	236	1005	463	170	476	288	511	
171	253	777	403	159	482	252	554	
